CompanyId,Text
2824329,Provádíme veškeré stavební práce.
73882577,"Zakázková výroba kuchyňských linek včetně vestavěných spotřebičů, vestavěných skříní, kancelářského nábytku, nábytku do předsíní, dětských a obývacích pokojů, atypického nábytku. Široký výběr dezénů a kování. Nabízíme drátěný program Mivokor."
26930765,"Zabýváme se dovozem a prodejem obkladů, dlažeb a sanitární keramiky. Nabízíme mozaiku, laminátové, plovoucí, vinylové i dřevěné podlahy, koberce, vany, sprchové zástěny a vaničky, vodovodní baterie, koupelnový nábytek, interiérové dveře a stavební chemii."
65388372,Nabídka služeb realitní kanceláře.
29120233,"Nabízím služby hotelového poradce. Ať jde o hladký průběh nově otevřeného projektu, restrukturalizaci s návratností, spolehlivý dočasný management, přípravu budoucího projektu nebo profesionální vedení."
10208097,Opravy a údržba motorových vozidel.
6245986,"Projektová činnost ve výstavbě, inženýrská činnost."
3857999,Pomáháme medicíně využít potenciál umělé inteligence a strojového učení a naplno zužitkovat sílu ukrytou v datech.
46704311,"Provádíme rekonstrukce fasád, komínů, chodníků a budov, zateplování, pokládku zámkové dlažby a obkladačské práce."
18901638,Poskytování drobných prací a rekonstrukcí bytů. Realizace instalatérských a truhlářských prací.
61239682,Provoz hasičského sboru.
74375903,"Prodej a servis jízdních kol. Nabízíme rakouská kola KTM a česká kola Superior, horská, krosová, dětská, silniční a široká nabídka elektrokol. Jsme specialisté na elektrokola s pohonem Bosch. Odborný servis a stavba kol na zakázku. Cyklodíly a doplňky KTM, ALE, Craft, FFWD, Campagnolo, UVEX aj."
25614673,"Specializujeme se na prodej, montáž, renovaci a pokládku parket, plovoucích podlah, koberců a PVC."
64314111,"Věnujeme se tradičnímu řemeslu umělecké kovářství a zámečnictví. Na zakázku vyrábíme kované brány, ploty, zábradlí, mříže, nábytek, krbové soupravy, interiérové doplňky, lovecké nože apod. Díla realizujeme na klíč dle našeho-vašeho vlastního návrhu."
29144477,"Zabýváme se distribucí, servisem a komplexním poradenstvím v oblasti ručního a elektrického nářadí, nástrojů, dílenského nábytku, čistící techniky a průmyslové chemie."
43513697,"Zabýváme se přestavbami, opravami přívěsů a návěsů. Vyrábíme přívěsy a návěsy od 750 kg do 40 tun. Provádíme individuální stavby a schvalování nových i přestavěných přívěsů a návěsů."
69934215,"Nabízíme tesařské, pokrývačské a klempířské práce. Provádíme kompletní dodávky střech. Zaměřujeme se na výměny střešních krytin, opravy krovů, montáž pergol, plechové falcované krytiny a montáž i pronájem rámového lešení. Specializujeme se i na stavby altánů a jiných dřevostaveb."
16543084,"Nabídka teplých i studených jídel, alkoholických a nealkoholických nápojů."
7033273,"Výuka francouzštiny. On-line i prezenční soukromé lekce, skupinové a firemní kurzy, konverzace ve francouzštině."
5395615,"Nacházíme se v Brandýse nad Labem-Stará Boleslav. Stylové ubytování se soukromým parkováním, plně vybavenou kuchyní a bezplatném Wi-Fi. TV s plochou obrazovkou, pohodlné sezení, stylová koupelna se sprchou a toaletou, terasa do zahrady. Jsme pouze 30 od centra Prahy. Milí majitelé."
88608590,Nabízíme prodej masa a masných výrobků.
